Restaurant ID,Restaurant name,Subzone,City,Overview,Metric,Mar 2026,Apr 2026,May 2026
20167617,GGB - Green Grain Bowl,Aundh,Pune,Customer funnel,Cart to orders (%),47.1,40.2,51.9
20167617,GGB - Green Grain Bowl,Aundh,Pune,Customer funnel,Placed Orders,122,99,110
20167617,GGB - Green Grain Bowl,Aundh,Pune,Customer segmentation,New user orders,52,34,56
20167617,GGB - Green Grain Bowl,Aundh,Pune,Customer segmentation,Repeat user orders,48,48,42
20167617,GGB - Green Grain Bowl,Aundh,Pune,Customer segmentation,Lapsed user orders,22,17,12
20167617,GGB - Green Grain Bowl,Aundh,Pune,Customer segmentation,Breakfast orders,0,0,0
20167617,GGB - Green Grain Bowl,Aundh,Pune,Customer segmentation,Lunch orders,68,65,58
20167617,GGB - Green Grain Bowl,Aundh,Pune,Customer segmentation,Snacks orders,13,5,15
20167617,GGB - Green Grain Bowl,Aundh,Pune,Customer segmentation,Dinner orders,41,29,37
20167617,GGB - Green Grain Bowl,Aundh,Pune,Customer segmentation,Late night orders,0,0,0
20167617,GGB - Green Grain Bowl,Aundh,Pune,Ads,Sales from ads (Rs),34764,23812.51,24688.600000000002
20167617,GGB - Green Grain Bowl,Aundh,Pune,Ads,Ads CTR (%),3.8,4.3,4.8
20167617,GGB - Green Grain Bowl,Aundh,Pune,Ads,Ads impressions,45623,31634,23244
20167617,GGB - Green Grain Bowl,Aundh,Pune,Ads,Ads menu opens,1755,1359,1118
20167617,GGB - Green Grain Bowl,Aundh,Pune,Ads,Ads orders,89,61,67
20167617,GGB - Green Grain Bowl,Aundh,Pune,Ads,Ads spend (Rs),21465.00048828125,15633.000671386719,13353.500799179077
20167617,GGB - Green Grain Bowl,Aundh,Pune,Ads,Ads ROI,1.819333757822196,1.7534701479398345,2.295652687712016
20167617,GGB - Green Grain Bowl,Aundh,Pune,Offers,Orders with offers,21186.95,20990.38,22108.5
20167617,GGB - Green Grain Bowl,Aundh,Pune,Offers,Gross sales from offers (Rs),60,58,73
20167617,GGB - Green Grain Bowl,Aundh,Pune,Offers,Discount given (Rs),6644.400009155273,6495.572004318237,9108.199995040894
20167617,GGB - Green Grain Bowl,Aundh,Pune,Offers,Effective discount (%),31.360815285643486,30.94546996472005,41.1977293576719
20558203,Bikaner Express,Gomti Nagar,Lucknow,Sales,Delivered orders,2787,3057,2893
20558203,Bikaner Express,Gomti Nagar,Lucknow,Sales,Sales (Rs),759302.796875,763754.3857421875,717686.720703125
20558203,Bikaner Express,Gomti Nagar,Lucknow,Sales,Market share (%),0,0,0
20558203,Bikaner Express,Gomti Nagar,Lucknow,Customer experience,Average rating,3.7317483886595695,3.592323319117228,3.5686580750250045
20558203,Bikaner Express,Gomti Nagar,Lucknow,Customer experience,Rated orders,423,467,421
20558203,Bikaner Express,Gomti Nagar,Lucknow,Customer experience,Bad orders,588,561,484
20558203,Bikaner Express,Gomti Nagar,Lucknow,Customer experience,Rejected orders,23,25,25
20558203,Bikaner Express,Gomti Nagar,Lucknow,Customer experience,KPT+10 delayed orders,328,258,228
20558203,Bikaner Express,Gomti Nagar,Lucknow,Customer experience,Poor rated orders,165,188,179
20558203,Bikaner Express,Gomti Nagar,Lucknow,Customer experience,Total complaints,154,176,134
20558203,Bikaner Express,Gomti Nagar,Lucknow,Customer experience,Non-refunded complaints,87,96,95
20558203,Bikaner Express,Gomti Nagar,Lucknow,Customer experience,Total complaints - Poor packaging,25,35,29
20558203,Bikaner Express,Gomti Nagar,Lucknow,Customer experience,Total complaints - Poor quality,75,59,64
20558203,Bikaner Express,Gomti Nagar,Lucknow,Customer experience,Total complaints - Wrong order,41,39,34
20558203,Bikaner Express,Gomti Nagar,Lucknow,Customer experience,Total complaints - Missing items,53,78,40
20558203,Bikaner Express,Gomti Nagar,Lucknow,Customer experience,Self logs other ors,82,73,59
20558203,Bikaner Express,Gomti Nagar,Lucknow,Customer experience,Lost sales (Rs),5816.74,6973.07,6639.89
20558203,Bikaner Express,Gomti Nagar,Lucknow,Customer experience,Online %,98.96,95.28,96.64
20558203,Bikaner Express,Gomti Nagar,Lucknow,Customer experience,Offline time (in hours),5,25,17
20558203,Bikaner Express,Gomti Nagar,Lucknow,Customer experience,KPT (in minutes),17.0763,15.5903,15.3924
